LegID,LegOrig,LegDest,LegSTD,LegSTA,Captain
1,a1,a2,06:00:00,07:20:00,k1
2,a2,a3,08:05:00,08:55:00,k1
3,a3,a1,09:30:00,10:30:00,k1
4,a1,a4,11:15:00,12:15:00,k1
5,a4,a1,12:50:00,13:50:00,k1
6,a1,a5,15:00:00,15:45:00,k2
7,a5,a1,16:20:00,17:05:00,k2
8,a1,a4,17:50:00,18:35:00,k2
9,a4,a1,19:10:00,19:55:00,k2
10,a1,a2,20:40:00,22:00:00,k2
11,a1,a3,06:15:00,07:15:00,k3
12,a3,a5,07:50:00,08:45:00,k3
13,a5,a6,09:20:00,10:15:00,k3
14,a6,a5,10:50:00,11:45:00,k3
15,a5,a2,12:20:00,13:25:00,k3
16,a2,a5,15:30:00,16:35:00,k4
17,a5,a7,17:10:00,18:05:00,k4
18,a7,a5,18:40:00,19:35:00,k4
19,a5,a3,20:10:00,21:05:00,k4
20,a3,a1,21:40:00,22:40:00,k4
21,a2,a1,06:00:00,07:20:00,k5
22,a1,a5,08:05:00,08:50:00,k5
23,a5,a6,09:25:00,10:20:00,k5
24,a6,a5,10:55:00,11:50:00,k5
25,a5,a1,12:25:00,13:10:00,k5
26,a1,a3,16:00:00,17:00:00,k6
27,a3,a2,17:35:00,18:25:00,k6
28,a2,a8,19:10:00,19:45:00,k6
29,a8,a2,20:20:00,20:55:00,k6
30,a2,a1,21:40:00,23:00:00,k6
31,a9,a2,06:00:00,07:45:00,k43
32,a2,a5,08:30:00,09:35:00,k43
33,a5,a7,10:10:00,11:05:00,k43
34,a7,a5,11:40:00,12:35:00,k43
35,a5,a9,13:10:00,14:10:00,k43
36,a9,a3,15:00:00,16:25:00,k44
37,a3,a9,17:00:00,18:25:00,k44
38,a9,a10,19:10:00,19:50:00,k44
39,a10,a9,20:25:00,21:05:00,k44
40,a9,a2,21:40:00,23:25:00,k44
41,a9,a5,07:00:00,08:00:00,k45
42,a5,a3,08:35:00,09:30:00,k45
43,a3,a11,10:05:00,10:40:00,k45
44,a11,a3,11:15:00,11:50:00,k45
45,a3,a2,12:25:00,13:15:00,k45
46,a2,a3,15:00:00,15:50:00,k46
47,a3,a5,16:25:00,17:20:00,k46
48,a5,a12,17:55:00,18:40:00,k46
49,a12,a5,19:15:00,20:00:00,k46
50,a5,a9,20:35:00,21:35:00,k46
51,a2,a9,06:10:00,07:55:00,k47
52,a9,a3,08:40:00,10:05:00,k47
53,a3,a13,10:40:00,11:00:00,k47
54,a13,a3,11:35:00,11:55:00,k47
55,a3,a9,12:30:00,13:55:00,k47
56,a9,a5,16:00:00,17:00:00,k48
57,a5,a2,17:35:00,18:40:00,k48
58,a2,a14,19:25:00,19:45:00,k48
59,a14,a2,20:20:00,20:40:00,k48
60,a2,a9,21:25:00,23:10:00,k48
61,a1,a15,06:00:00,07:15:00,k19
62,a15,a16,07:50:00,10:20:00,k19
63,a16,a17,11:05:00,13:00:00,k19
64,a17,a16,14:30:00,16:25:00,k20
65,a16,a17,17:10:00,19:05:00,k20
66,a17,a16,19:50:00,21:45:00,k20
67,a17,a16,06:00:00,07:55:00,k21
68,a16,a17,08:40:00,10:35:00,k21
69,a17,a16,11:20:00,13:15:00,k21
70,a16,a15,14:35:00,17:05:00,k22
71,a15,a17,17:40:00,18:45:00,k22
72,a17,a1,19:30:00,21:30:00,k22
73,a16,a17,06:10:00,08:05:00,k23
74,a17,a15,08:50:00,09:55:00,k23
75,a15,a1,10:30:00,11:45:00,k23
76,a1,a17,13:35:00,15:35:00,k24
77,a17,a16,16:20:00,18:15:00,k24
78,a16,a17,19:00:00,20:55:00,k24
79,a9,a15,06:20:00,07:20:00,k49
80,a15,a18,07:55:00,09:45:00,k49
81,a18,a19,10:30:00,11:55:00,k49
82,a19,a18,15:45:00,17:10:00,k50
83,a18,a19,17:55:00,19:20:00,k50
84,a19,a18,20:05:00,21:30:00,k50
85,a19,a18,06:30:00,07:55:00,k51
86,a18,a19,08:40:00,10:05:00,k51
87,a19,a18,10:50:00,12:15:00,k51
88,a18,a15,16:45:00,18:35:00,k52
89,a15,a19,19:10:00,20:00:00,k52
90,a19,a9,20:45:00,21:45:00,k52
91,a18,a19,06:30:00,07:55:00,k53
92,a19,a15,08:40:00,09:30:00,k53
93,a15,a20,10:05:00,10:45:00,k53
94,a20,a15,11:20:00,12:00:00,k53
95,a15,a9,12:35:00,13:35:00,k53
96,a9,a19,14:30:00,15:30:00,k54
97,a19,a18,16:15:00,17:40:00,k54
98,a18,a21,18:25:00,19:15:00,k54
99,a21,a18,19:50:00,20:40:00,k54
100,a18,a19,21:25:00,22:50:00,k54
101,a1,a15,06:25:00,07:40:00,k25
102,a15,a22,08:15:00,10:20:00,k25
103,a22,a18,10:55:00,13:15:00,k25
104,a18,a22,14:20:00,16:40:00,k26
105,a22,a18,17:15:00,19:35:00,k26
106,a18,a22,20:20:00,22:40:00,k26
107,a18,a22,06:05:00,08:25:00,k27
108,a22,a18,09:00:00,11:20:00,k27
109,a18,a22,12:05:00,14:25:00,k27
110,a22,a15,16:05:00,18:10:00,k28
111,a15,a18,18:45:00,20:10:00,k28
112,a18,a1,20:55:00,22:25:00,k28
113,a22,a18,07:05:00,09:25:00,k29
114,a18,a15,10:10:00,11:35:00,k29
115,a15,a1,12:10:00,13:25:00,k29
116,a1,a18,15:05:00,16:35:00,k30
117,a18,a22,17:20:00,19:40:00,k30
118,a22,a18,20:15:00,22:35:00,k30
119,a9,a15,07:30:00,08:30:00,k55
120,a15,a17,09:05:00,10:10:00,k55
